Hotel ID	Hotel Name	Price start from (in SGD)	Web site	Location	star
1	30 Bencoolen	190	https://www.30bencoolen.com.sg	1.298679, 103.850262	4
2	Amara Sanctuary Resort Sentosa	341	https://sentosa.amarahotels.com	1.251541, 103.822441	5
3	Amara Singapore	492	https://singapore.amarahotels.com	1.275386, 103.843547	5
4	AMOY Hotel	328	https://stayfareast.com	1.282923, 103.848734	4
5	Andaz Singapore	411	https://hyatt.com	1.299244, 103.857732	5
6	Aqueen Hotel - Balestier	112	https://aqueenhotels.com	1.325271, 103.849931	3
7	Ascott Orchard Singapore	311	https://the-ascott.com	1.304196, 103.837095	4
8	Ascott Raffles Place Singapore	326	https://the-ascott.com	1.282028, 103.851567	5
9	Bay Hotel Singapore	177	https://bayhotelsingapore.com	1.266263, 103.823852	4
10	Beach Hotel	120	https://oyorooms.com	1.297458, 103.856757	2
11	Broadway Hotel Singapore	93	https://broadwayhotel-singapore.com	1.309258, 103.853169	2
12	Capella Hotel, Singapore	596	https://capellahotels.com	1.249836, 103.824149	5
13	Capri by Fraser Changi City, Singapore	269	https://singapore.capribyfraser.com	1.334123, 103.963627	4
14	Carlton City Hotel Singapore	232	https://carltoncity.sg	1.276116, 103.843704	4
15	Carlton Hotel Singapore	241	https://carltonhotel.sg	1.296019, 103.852789	4
16	Concorde Hotel Singapore	214	https://concordehotelsresorts.com	1.300807, 103.841494	4
17	Conrad Centennial Singapore	330	https://conradhotels3.hilton.com	1.293316, 103.858763	5
18	Copthorne Kings Hotel	167	https://millenniumhotels.com	1.288300, 103.836629	4
19	Courtyard by Marriott Singapore Novena	228	https://marriott.com	1.320613, 103.843232	4
20	Crowne Plaza Changi Airport	271	https://ihg.com	1.358750, 103.988014	5
21	Days Hotel by Wyndham Singapore At Zhongshan Park	123	https://dayshotelsingapore.com	1.327030, 103.847493	3
22	Destination Singapore Beach Road	160	https://parkhotelgroup.com	1.302481, 103.864205	4
23	Dorsett Singapore	188	https://dorsetthotels.com	1.279653, 103.840025	4
24	Fairmont Singapore	423	https://fairmont.com	1.294154, 103.853603	5
25	five/6 Hotel Splendour	162	https://hotelsplendour.sg	1.311187, 103.876600	2
26	Fortuna Hotel	172	https://fortunahotel.com.sg	1.311708, 103.854976	3
27	Four Points by Sheraton Singapore, Riverview	168	https://marriott.com	1.289216, 103.836620	4
28	Four Seasons Hotel Singapore	394	https://fourseasons.com	1.305257, 103.828679	5
29	Fragrance Hotel - Ruby	71	https://fragrancehotel.com	1.312179, 103.881088	2
30	Fragrance Hotel - Sapphire	59	https://fragrancehotel.com	1.311801, 103.877807	2
31	Furama City Centre Singapore	165	https://furama.com	1.286460, 103.844600	4
32	Furama Riverfront Singapore	155	https://furama.com	1.287681, 103.836079	4
33	Genting Hotel Jurong	176	https://rwsentosa.com	1.331562, 103.739387	3
