Tourism ID	Tourism Name	Web site	Location
1	National Healthcare Group Polyclinics' Gallery of Memories	https://roots.sg/Content/Places/museums/national-healthcare-group-polyclinics	103.74764684501, 1.35203106458386
2	National Library Singapore	https://en.wikipedia.org/wiki/National_Library,_Singapore	103.854281790792, 1.29722592267748
3	National Museum of Singapore	https://www.nationalmuseum.sg/	103.848504868789, 1.29672358952598
4	Ngee Ann Cultural Centre	https://thengeeannkongsi.com.sg/en/culture-and-heritage/ngee-ann-cultural-centre/	103.843449206248, 1.29529815511203
5	Peranakan Museum	https://www.peranakanmuseum.org.sg/	103.849147851428, 1.29425249918493
6	Police Heritage Centre	https://www.police.gov.sg/about-us/our-heritage/police-heritage-centre/about-police-heritage-centre#content	103.84501954379, 1.32402565519916
7	Red Dot Design Museum	https://www.museum.red-dot.sg/	103.856316031829, 1.28022800655307
8	Reflections at Bukit Chandu	https://www.nhb.gov.sg/what-we-do/our-work/.../reflections-at-bukit-chandu	103.794241890607, 1.27954329665988
9	Republic of Singapore Airforce Museum	https://www.mindef.gov.sg/web/portal/rsaf/about-the-rsaf/air-force-museum	103.899731855273, 1.34515552293767
10	Republic of Singapore Navy Museum	https://www.mindef.gov.sg/oms/imindef/mindef_websites/.../navymuseum/home.html	104.016516000073, 1.31743499999456
11	Singapore Discovery Centre	https://www.sdc.com.sg/	103.6789426775, 1.33272640807787
12	Science Centre Singapore	https://www.science.edu.sg/	103.736269714867, 1.33328436053137
13	Singapore Art Museum	https://www.singaporeartmuseum.sg/	103.850948911553, 1.29724059894391
14	Singapore City Gallery	https://www.ura.gov.sg/Corporate/Singapore-City-Gallery	103.845323045012, 1.27959285607286
15	Singapore Maritime Gallery	https://www.maritimegallery.sg/web/portal/home	103.863336999636, 1.27103899972427
16	Singapore Philatelic Museum	https://www.spm.org.sg	103.848715823426, 1.29283255866067
17	Singapore Sports Museum	https://www.sportshub.com.sg/museum	103.873453000392, 1.30144200036259
18	Sun Yat Sen Nanyang Memorial Hall	https://www.sysnmh.org.sg/	103.847217338702, 1.32810921164909
19	Tan Tock Seng Hospital Heritage Museum	https://www.ttsh.com.sg/TTSH-Heritage-Museum/	103.845940639249, 1.3216876872552
20	The Battle Box	https://www.battlebox.com.sg/	103.846163257411, 1.29550008741008
21	The Changi Museum	https://www.changimuseum.sg/	103.974006793251, 1.36216665046189
22	The Grassroots Heritage Centre	https://roots.sg/Content/Places/museums/the-grassroots-heritage-centre	103.788143995983, 1.28291602383677
23	The Intan	https://the-intan.com/	103.900967999697, 1.31448600026553
24	The Private Museum	http://theprivatemuseum.org/	103.851454494149, 1.29808859920821
